12 Years a Slave	 --- Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams	 --- 2013	 --- 654,141	 --- 8.1
La passion de Jeanne d'Arc	 --- Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain	 --- 1928	 --- 49,283	 --- 8.1
How to Train Your Dragon	 --- Dean DeBlois (dir.), Jay Baruchel, Gerard Butler	 --- 2010	 --- 680,673	 --- 8.1
Mad Max: Fury Road	 --- George Miller (dir.), Tom Hardy, Charlize Theron	 --- 2015	 --- 906,002	 --- 8.1
Le salaire de la peur	 --- Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel	 --- 1953	 --- 56,104	 --- 8.1
Ben-Hur	 --- William Wyler (dir.), Charlton Heston, Jack Hawkins	 --- 1959	 --- 223,357	 --- 8.1
Million Dollar Baby	 --- Clint Eastwood (dir.), Hilary Swank, Clint Eastwood	 --- 2004	 --- 647,228	 --- 8.1
Dead Poets Society	 --- Peter Weir (dir.), Robin Williams, Robert Sean Leonard	 --- 1989	 --- 438,694	 --- 8.1
Network	 --- Sidney Lumet (dir.), Faye Dunaway, William Holden	 --- 1976	 --- 147,865	 --- 8.1
Stand by Me	 --- Rob Reiner (dir.), Wil Wheaton, River Phoenix	 --- 1986	 --- 370,808	 --- 8.1
